year,make,model,stock_number,is_new,vin,exterior_color,interior_color,engine_cylinders,doors,transmission,invoice_amount,selling_price,trim,epa_city,epa_highway,fuel_type,drive_train,transmission_description,msrp,miles,vehicle_description,certified,epa_unit,shorten_vdp_url
2014,Ford,Escape,EUB04812,FALSE,1FMCU0J96EUB04812,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Titanium,NULL,NULL,Gasoline,FWD,EcoBoost 2.0L Turbo I4 240hp 270ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2006,BMW,3 Series,6PS12663,FALSE,WBAVB33526PS12663,Granite Pearlcoat,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,330i,NULL,NULL,Gasoline,RWD,3.0L NA I6 double overhead cam (DOHC) 24V,NULL,NULL,NULL,NULL,NULL,NULL
2010,Lexus,RX 350,AC078762,FALSE,2T2BK1BA7AC078762,Blizzard Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Base,NULL,NULL,Gasoline,AWD,3.5L V6 275hp 257ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Explorer,LGA93068,TRUE,1FMSK8DH1LGA93068,Lunar Silver,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,AWD,EcoBoost 2.3L Turbo I4 300hp 310ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Odyssey,LB031658,TRUE,5FNRL6H23LB031658,Pearl White Tricoat,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Lincoln,Navigator L,LEL15451,TRUE,5LMJJ3LT5LEL15451,Pearl White Tricoat,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Reserve,NULL,NULL,NULL,4X4,3.5L Twin Turbo V6 450hp 510ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Fusion,LR190078,TRUE,3FA6P0G74LR190078,Iced Mocha,NULL,NULL,NULL,6-Speed Automatic,NULL,NULL,S,NULL,NULL,Gasoline,FWD,2.5L I4 175hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2014,Chevrolet,Camaro,E9282541,FALSE,2G1FB1E31E9282541,Granite Pearlcoat,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,LT,NULL,NULL,Gasoline,RWD,3.6L V6 323hp 278ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2007,Dodge,Ram Pickup 1500,7J614159,FALSE,1D7HU18287J614159,Celestial Silver,NULL,NULL,NULL,5-Speed Automatic,NULL,NULL,SLT,NULL,NULL,Gasoline,4WD,HEMI 5.7L V8 345hp 375ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Toyota,Camry,JU019773,FALSE,4T1BZ1HK5JU019773,Blizzard Pearl,NULL,NULL,NULL,8-Speed Automatic w/Sequential Shift Mode,NULL,NULL,XLE V6,NULL,NULL,Gasoline,FWD,3.5L V6 301hp 267ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2014,Ram,Ram Pickup 1500,ES190311,FALSE,1C6RR6FG0ES190311,Blue Crush Metallic,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Express,NULL,NULL,Gasoline,4X2,3.6L Flex Fuel V6 305hp 269ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Ram,Ram Pickup 1500,KN789172,FALSE,1C6SRFGT6KN789172,Octane Red Pearl,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Tradesman,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Kicks,LL535975,TRUE,3N1CP5CV1LL535975,Granite Crystal,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,1.6L I4 122hp 114ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Rogue Sport,LW646907,TRUE,JN1BJ1CW1LW646907,Pearl White Tricoat,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,SV,NULL,NULL,Gasoline,AWD,2.0L I4 141hp 147ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Rogue,LC819742,TRUE,5N1AT2MT3LC819742,Infinite Black,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,SL,NULL,NULL,Gasoline,FWD,2.5L I4 170hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Versa,LL905279,TRUE,3N1CN8FV9LL905279,Pearl White Tricoat,NULL,NULL,NULL,CVT,NULL,NULL,SR,NULL,NULL,Gasoline,FWD,1.6L I4 122hp 114ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Sentra,LY284653,TRUE,3N1AB8CV2LY284653,Infinite Black,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,2.0L I4 149hp 146ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Sentra,LY267303,TRUE,3N1AB8CV0LY267303,Brilliant Silver,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,SV,NULL,NULL,Gasoline,FWD,2.0L I4 149hp 146ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC268991,TRUE,1N4BL4CV0LC268991,Crystal Black,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN414672,TRUE,1C6SRFJT1LN414672,Billet Silver,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 2500,LG244507,TRUE,3C6UR5FL6LG244507,Maximum Steel,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-250 Super Duty,LEE62871,TRUE,1FT7W2BT7LEE62871,Oxford White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,NULL,4X4,Power Stroke 6.7L Biodiesel Turbo V8 475hp 1050ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Rogue,LP518029,TRUE,KNMAT2MV3LP518029,Infinite Black,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,SL,NULL,NULL,Gasoline,AWD,2.5L I4 170hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Mustang,L5171707,TRUE,1FA6P8CF4L5171707,Magma Red,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,GT Premium,NULL,NULL,Gasoline,RWD,5.0L V8 460hp 420ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Explorer,LGD06617,TRUE,1FMSK8FH5LGD06617,Star White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Limited,NULL,NULL,Gasoline,AWD,EcoBoost 2.3L Turbo I4 300hp 310ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Edge,LBA89357,TRUE,2FMPK3J93LBA89357,Retail Red,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SEL,NULL,NULL,Gasoline,FWD,EcoBoost 2.0L Turbo I4 250hp 280ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Ranger,LLA74719,TRUE,1FTER4FH6LLA74719,Rapid Red,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Lariat,NULL,NULL,Gasoline,4X4,EcoBoost 2.3L Turbo I4 270hp 310ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Explorer,LGD06731,TRUE,1FMSK8DHXLGD06731,Atlas Blue,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,AWD,EcoBoost 2.3L Turbo I4 300hp 310ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Expedition,LEA71960,TRUE,1FMJU1GT9LEA71960,Oxford White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XL Fleet,NULL,NULL,Gasoline,4X4,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Edge,LBB00507,FALSE,2FMPK4J91LBB00507,Atlas Blue,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SEL,NULL,NULL,Gasoline,AWD,EcoBoost 2.0L Turbo I4 250hp 280ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LKF18440,TRUE,1FTEW1EP7LKF18440,Magma Red,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X4,EcoBoost 2.7L Twin Turbo V6 325hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Mustang,L5503381,TRUE,1FA6P8SJXL5503381,Shadow Black,NULL,NULL,NULL,7-Speed Double Clutch,NULL,NULL,Shelby GT500,NULL,NULL,Gasoline,RWD,5.2L Supercharged V8 760hp 625ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Challenger,LH242972,TRUE,2C3CDZBT6LH242972,Maximum Steel,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,R/T,NULL,NULL,Gasoline,RWD,HEMI 5.7L V8 375hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2010,Acura,RL,AC001577,FALSE,JH4KB2F62AC001577,Blue,Black,NULL,NULL,5-Speed Shiftable Automatic,NULL,NULL,SH-AWD w/Tech/CMBS/ACC Package,NULL,NULL,Gasoline,AWD,3.7L V6 300hp 271ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2015,Honda,Civic,FE017757,FALSE,19XFB2F54FE017757,Vice White,NULL,NULL,NULL,NULL,NULL,7000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Challenger,LH155973,TRUE,2C3CDZJG5LH155973,NULL,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,GT,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 303hp 268ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Fit,LM712701,TRUE,3HGGK5H45LM712701,Granite Crystal,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,1.5L I4 128hp 113ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Lincoln,Corsair,LUL30147,TRUE,5LMCJ2D96LUL30147,Pearl White Tricoat,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Reserve,NULL,NULL,Gasoline,AWD,2.0L Turbo I4 250hp 275ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 2500,LG121332,TRUE,3C6UR5DL3LG121332,Lunar Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Big Horn,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 3500,LG109398,TRUE,3C63R3HL3LG109398,Maximum Steel,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Big Horn,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 370hp 850ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Lincoln,Continental,L5607270,TRUE,1LN6L9NP7L5607270,Pearl White Tricoat,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Reserve,NULL,NULL,Gasoline,AWD,2.7L Twin Turbo V6 335hp 380ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-250 Super Duty,LED85257,TRUE,1FT7W2BT9LED85257,NULL,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XL,NULL,NULL,NULL,4X4,Power Stroke 6.7L Biodiesel Turbo V8 475hp 1050ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Odyssey,LB057096,TRUE,5FNRL6H72LB057096,NULL,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,EX-L w/Navi w/RES,NULL,NULL,Gasoline,FWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ram,Ram Pickup 1500,LN339974,TRUE,1C6SRFJT3LN339974,Billet Silver,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,Gasoline,4X4,HEMI 5.7L V8 395hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LKF18443,TRUE,1FTEX1E58LKF18443,Oxford White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X4,5.0L Flex Fuel V8 395hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LFC84162,TRUE,1FTFW1E42LFC84162,Billet Silver,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X4,EcoBoost 3.5L Twin Turbo V6 375hp 470ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-250 Super Duty,LEE62856,TRUE,1FT7W2BT0LEE62856,Magnetic Gray,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XL,NULL,NULL,NULL,4X4,Power Stroke 6.7L Biodiesel Turbo V8 475hp 1050ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,Ranger,LLA80494,FALSE,1FTER4FH5LLA80494,Rapid Red,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Lariat,NULL,NULL,Gasoline,4X4,EcoBoost 2.3L Turbo I4 270hp 310ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Ford,F-150,LKE40351,FALSE,1FTEW1EP1LKE40351,Oxford White,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X4,EcoBoost 2.7L Twin Turbo V6 325hp 400ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Odyssey,MB008690,TRUE,5FNRL6H88MB008690,Deep Scarlet,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Touring,NULL,NULL,Gasoline,FWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Passport,LB020312,TRUE,5FNYF8H04LB020312,Crystal Black,NULL,NULL,NULL,9-Speed Shiftable Automatic,NULL,NULL,Elite,NULL,NULL,Gasoline,AWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,CR-V Hybrid,LE016454,TRUE,7FART6H99LE016454,Crystal Black,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,Touring,NULL,NULL,NULL,AWD,2.0L Hybrid I4 212hp,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Odyssey,MB010008,TRUE,5FNRL6H94MB010008,Platinum White pearl,NULL,NULL,NULL,10-Speed Shiftable Automatic,NULL,NULL,Elite,NULL,NULL,Gasoline,FWD,3.5L V6 280hp 262ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,HR-V,LM715890,TRUE,3CZRU6H16LM715890,Pearl White Tricoat,NULL,NULL,NULL,7-Speed Shiftable CVT,NULL,NULL,Sport,NULL,NULL,Gasoline,AWD,1.8L I4 141hp 127ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Clarity Plug-In Hybrid,MC000085,TRUE,JHMZC5F11MC000085,Modern Steel,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,Base,NULL,NULL,Gasoline,FWD,1.5L Plug-in Hybrid I4 212hp,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Civic,LE214452,TRUE,19XFC2F61LE214452,Maximum Steel,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,2.0L I4 158hp 138ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,CR-V,LE017626,TRUE,7FARW1H93LE017626,Gun Metallic,NULL,NULL,NULL,CVT,NULL,NULL,Touring,NULL,NULL,Gasoline,FWD,1.5L Turbo I4 190hp 179ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Clarity Plug-In Hybrid,MC000371,TRUE,JHMZC5F12MC000371,Deep Scarlet,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,Base,NULL,NULL,Gasoline,FWD,1.5L Plug-in Hybrid I4 212hp,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Accord,LA131332,TRUE,1HGCV1F13LA131332,Modern Steel,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,1.5L Turbo I4 192hp 192ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Civic,LH578368,TRUE,2HGFC2F64LH578368,Maximum Steel,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,2.0L I4 158hp 138ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Challenger,LH236493,TRUE,2C3CDZBT8LH236493,White Knuckle,NULL,NULL,NULL,6-Speed Manual,NULL,NULL,R/T,NULL,NULL,Gasoline,RWD,HEMI 5.7L V8 375hp 410ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Charger,LH229860,TRUE,2C3CDXJG6LH229860,Triple Nickle,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,AWD,Pentastar 3.6L V6 300hp 264ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Challenger,LH155973A,TRUE,2C3CDZJG5LH155973,Hellraisin,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,GT 50th Anniversary,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 303hp 268ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Dodge,Challenger,LH230970,TRUE,2C3CDZAG2LH230970,Plum Crazy,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 303hp 268ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Insight,ME003196,TRUE,19XZE4F98ME003196,Deep Scarlet,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,Touring,NULL,NULL,Gasoline,FWD,1.5L Hybrid I4 151hp 197ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2021,Honda,Insight,ME002928,TRUE,19XZE4F50ME002928,Modern Steel,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,EX,NULL,NULL,Gasoline,FWD,1.5L Hybrid I4 151hp 197ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,Civic,LH578334,TRUE,2HGFC2F69LH578334,Gun Metallic,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,FWD,2.0L I4 158hp 138ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Nissan,Altima,LC182307,TRUE,1N4BL4BV0LC182307,Granite Crystal,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 S,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,CR-V,LH673908,TRUE,2HKRW2H55LH673908,Granite Crystal,NULL,NULL,NULL,CVT,NULL,NULL,EX,NULL,NULL,Gasoline,AWD,1.5L Turbo I4 190hp 179ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Honda,Accord,JA126540,FALSE,1HGCV1F48JA126540,Celestial Silver,NULL,NULL,NULL,CVT,NULL,NULL,EX,NULL,NULL,Gasoline,FWD,1.5L Turbo I4 192hp 192ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Lincoln,Continental,K5613097,TRUE,1LN6L9SK6K5613097,Infinite Black,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Select,NULL,NULL,Gasoline,FWD,3.7L V6 305hp 280ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Chevrolet,Malibu,LF086306,FALSE,1G1ZG5STXLF086306,Vice White,NULL,NULL,NULL,CVT,NULL,NULL,RS,NULL,NULL,Gasoline,FWD,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2016,Dodge,Challenger,GH131790,FALSE,2C3CDZAG1GH131790,Blue Crush Metallic,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT Plus,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 305hp 268ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Dodge,Challenger,KH668610,FALSE,2C3CDZAG5KH668610,Vice White,NULL,NULL,NULL,8-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,RWD,Pentastar 3.6L V6 305hp 268ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2016,Ford,F-150,GKE86397,FALSE,1FTEX1CP5GKE86397,Blizzard Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,XLT,NULL,NULL,Gasoline,4X2,EcoBoost 2.7L Twin Turbo V6 325hp 375ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Nissan,Rogue,JW492476,FALSE,JN8AT2MT9JW492476,Celestial Silver,NULL,NULL,NULL,CVT,NULL,NULL,S,NULL,NULL,Gasoline,FWD,2.5L I4 170hp 175ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Nissan,Rogue Hybrid,HC786330,FALSE,5N1ET2MV8HC786330,Blue Crush Metallic,NULL,NULL,NULL,CVT,NULL,NULL,SL,NULL,NULL,Gasoline,AWD,2.0L Hybrid I4 176hp,NULL,NULL,NULL,NULL,NULL,NULL
2013,Nissan,JUKE,DT223875,FALSE,JN8AF5MV5DT223875,Octane Red Pearl,NULL,NULL,NULL,CVT,NULL,NULL,SL,NULL,NULL,Gasoline,AWD,1.6L Turbo I4 188hp 177ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2019,Nissan,Altima,KC136416,FALSE,1N4BL4CVXKC136416,Celestial Silver,NULL,NULL,NULL,Xtronic CVT,NULL,NULL,2.5 SR,NULL,NULL,Gasoline,FWD,2.5L I4 188hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Honda,CR-V,JH212266,FALSE,2HKRW6H36JH212266,Blizzard Pearl,NULL,NULL,NULL,CVT,NULL,NULL,LX,NULL,NULL,Gasoline,AWD,2.4L I4 184hp 180ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2016,Ram,Ram Pickup 2500,GG153069,FALSE,3C6UR5CLXGG153069,Blizzard Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Tradesman,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 350hp 660ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2018,Ram,Ram Pickup 2500,JG142975,FALSE,3C6UR5FL4JG142975,Octane Red Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Laramie,NULL,NULL,NULL,4X4,Cummins 6.7L Diesel Turbo I6 350hp 660ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2020,Honda,CR-V Hybrid,LE005645,TRUE,7FART6H86LE005645,Pearl White Tricoat,NULL,NULL,NULL,1-Speed Direct-Drive Automatic,NULL,NULL,EX-L,NULL,NULL,NULL,AWD,2.0L Hybrid I4 212hp,NULL,NULL,NULL,NULL,NULL,NULL
2017,Dodge,Grand Caravan,HR580744,FALSE,2C4RDGCGXHR580744,Celestial Silver,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,SXT,NULL,NULL,Gasoline,FWD,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Chevrolet,Cruze,H7252519,FALSE,1G1BF5SM5H7252519,Blizzard Pearl,NULL,NULL,NULL,6-Speed Shiftable Automatic,NULL,NULL,Premier Auto,NULL,NULL,Gasoline,FWD,1.4L Turbo I4 153hp 177ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2017,Honda,Civic,HE230419,FALSE,19XFC2F76HE230419,Celestial Silver,NULL,NULL,NULL,CVT,NULL,NULL,EX,NULL,NULL,Gasoline,FWD,2.0L I4 158hp 138ft. lbs.,NULL,NULL,NULL,NULL,NULL,NULL
2023,Chevrolet,Silverado 1500,C23466,TRUE,3GCPACEK6PG263459,Black,,4,4,Automatic,50496,52235,"2WD Crew Cab 147"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,,52235,2,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23467,TRUE,3GCPACEK7PG255354,Summit White,,4,4,Automatic,49896,51580,"2WD Crew Cab 157"" LT",19,22,Gasoline Fuel,Rear Wheel Drive,,51580,2,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23468,TRUE,3GCPDFEK3PG267607,Summit White,,4,4,Automatic,58213,60280,"4WD Crew Cab 147"" LT Trail Boss",18,21,Gasoline Fuel,Four Wheel Drive,,60280,2,,FALSE,MPG,NULL
2023,Chevrolet,Silverado 1500,C23469,TRUE,3GCPDFEK8PG267604,Summit White,,4,4,Automatic,58213,60280,"4WD Crew Cab 147"" LT Trail Boss",18,21,Gasoline Fuel,Four Wheel Drive,,60280,2,,FALSE,MPG,NULL
2023,Chevrolet,Blazer,C23477,TRUE,3GNKBFR40PS196916,Sterling Gray Metallic,Jet Black,4,4,Automatic,47694,48915,FWD 4dr Premier,22,29,Gasoline Fuel,Front Wheel Drive,9-Speed A/T,48915,2,,FALSE,MPG,NULL
2023,Chevrolet,Blazer,C23478,TRUE,3GNKBFR44PS218996,Sterling Gray Metallic,Jet Black,4,4,Automatic,47829,49060,FWD 4dr Premier,22,29,Gasoline Fuel,Front Wheel Drive,9-Speed A/T,49060,2,,FALSE,MPG,NULL
